timestamp,anomaly_label,anomaly_type,notification_api_health,notification_cpu,notification_delivery_success,notification_error_rate,notification_memory,notification_message_rate,notification_queue,notification_queue_depth,notification_response_time_p95,notification_thread_count,processor_cpu,processor_db_connections,processor_error_rate,processor_memory,processor_memory_growth,processor_processing_rate,processor_queue,processor_queue_depth,processor_redis_health,processor_response_time_p95,processor_thread_count,web_api_cpu,web_api_db_connections,web_api_errors,web_api_memory,web_api_queue_depth,web_api_redis_health,web_api_requests,web_api_requests_per_second,web_api_response_time_p95,web_api_thread_count
2025-09-28T10:02:54.152833,0,normal,1.0,0.0,0.99,0.01,30.45703125,0.0,0.0,0.0,39.0,6.0,3.7,10.0,0.1,53.94140625,0.0,0.0,752.0,732.0,0.0,50.0,2.0,0.2,1.0,0.0,54.22265625,0.0,1.0,1.0,0.1166666666666666,170.0,3.0
2025-09-28T10:02:54.152833_aug_1,0,normal,1.0,0.0473634879820202,0.99,0.01,30.3747764375949,0.0,0.0,0.0,39.0,6.036995704608119,1.7823996454487263,10.0,0.1,53.99077967876177,0.0,0.0,1016.814969955014,1110.526400929127,0.0,50.0,2.0,0.5285391714087302,0.9898164384695248,0.0,54.21760064305556,0.4868264299231948,1.0,0.9834414026839368,0.1142704706117643,169.50957500598642,3.019521593717593
2025-09-28T10:02:54.152833_aug_10,0,normal,1.0,0.0,0.99,0.01,30.642769769175167,0.0,0.0,0.0,39.0,5.9915313869960665,4.409416923609769,10.0,0.1,54.015268949672965,42.242354710046975,0.0,865.7851102753066,754.795227029735,0.0,50.0,2.0,3.38116288324587,0.9735841152970413,0.0,54.02178828290988,0.3201110918705015,1.0,0.9871196721194184,0.1078324355347051,173.42539098606554,2.9896546235450256
2025-09-28T10:02:54.152833_aug_2,0,normal,1.0,0.0,0.99,0.01,30.62322745609293,0.0,0.0,0.0,39.0,6.001927533114214,3.395450148828691,10.0,0.1,54.13068833527976,0.0,0.0,623.6789878154646,768.0212633970766,0.0,50.0,2.0,0.1483409133541943,0.9533118378479593,0.0,54.25586030384962,0.8757703043903253,1.0,0.976723843657378,0.1229789556818319,171.96067499630564,2.998717762905232
2025-09-28T10:02:54.152833_aug_3,0,normal,1.0,0.1248284206372124,0.99,0.01,30.57032413027892,0.0,0.0,0.0,39.0,5.982464016825367,4.416159858172854,10.0,0.1,53.91062502410049,21.074959884075344,0.0,876.0436488259581,710.5696302729128,0.0,50.0,2.0,1.260318759054329,0.9666187056124494,0.0,54.20870550813246,0.0373134716810722,1.0,1.0124801139908404,0.116788183177126,170.08739579125788,2.969618063872908
2025-09-28T10:02:54.152833_aug_4,0,normal,1.0,0.2559271021486874,0.99,0.01,30.435846181244468,0.0,0.0,0.0,39.0,5.991182040974741,3.610619520171501,10.0,0.1,53.89029766033356,0.0,0.0,750.999232115147,409.95360852795466,0.0,50.0,2.0,0.6551745240269222,1.0188047796766924,0.0,54.176928375973816,-2.0008805246213823,1.0,1.028268165495007,0.1193067483715236,165.0801008858893,2.996320192294464
2025-09-28T10:02:54.152833_aug_5,0,normal,1.0,0.0,0.99,0.01,30.375946717080645,0.0,0.0,0.0,39.0,5.986330508470511,4.68214713075109,10.0,0.1,53.93464301645497,29.32062551654893,0.0,755.5866510218412,880.0810092201976,0.0,50.0,2.0,2.073923174069872,1.016031276879888,0.0,54.17185281733979,0.0407105206130035,1.0,1.0114490677348138,0.1186835420435479,169.24014754405889,3.0087860909997493
2025-09-28T10:02:54.152833_aug_6,0,normal,1.0,0.0617635850050356,0.99,0.01,30.630439655319183,0.0,0.0,0.0,39.0,6.017327515065548,3.1993840628632544,10.0,0.1,53.82784311120976,0.0,0.0,756.4683128811835,880.0347758129091,0.0,50.0,2.0,3.7129353174455977,1.0021933951120965,0.0,54.15618014849537,0.7318946532171068,1.0,0.9883677283806276,0.098219008787198,170.91955935341025,3.044974816689651
2025-09-28T10:02:54.152833_aug_7,0,normal,1.0,0.0,0.99,0.01,30.565933534348897,0.0,0.0,0.0,39.0,6.034935849276907,4.9748328352908775,10.0,0.1,53.9293399582641,4.230235375091147,0.0,641.4000009462164,932.6199676552652,0.0,50.0,2.0,0.0,0.9039223037657004,0.0,54.29256099624799,-0.114848495297593,1.0,1.0191538316909987,0.1094651055950354,162.67016672494842,3.013139451039533
2025-09-28T10:02:54.152833_aug_8,0,normal,1.0,0.0,0.99,0.01,30.30767415877749,0.0,0.0,0.0,39.0,6.010978413134116,2.7132170777508766,10.0,0.1,53.80157180890993,0.0,0.0,919.5928069085612,739.491228276004,0.0,50.0,2.0,0.3208538010366518,1.0111038986128558,0.0,54.29218276759863,-0.6101886203870757,1.0,1.007561619795163,0.1128180765499333,175.7140620693607,2.983712491278589
2025-09-28T10:02:54.152833_aug_9,0,normal,1.0,0.175506517178275,0.99,0.01,30.40997854170949,0.0,0.0,0.0,39.0,6.012609252798286,3.789986254905928,10.0,0.1,53.94043919096594,0.0,0.0,574.9892831576487,838.1319018696083,0.0,50.0,2.0,0.0,1.0208188048363824,0.0,54.1760153242347,0.6705174389328944,1.0,1.0085311645964503,0.1172696841420983,177.59165687208778,3.037001389386184
2025-09-28T10:03:09.305984,0,normal,1.0,4.2,0.99,0.01,30.45703125,0.0,0.0,0.0,39.0,6.0,12.5,10.0,0.1,54.35546875,0.0,0.0,758.0,738.0,0.0,50.0,2.0,104.2,1.0,0.0,54.28515625,0.0,1.0,3.0,0.2833333333333333,270.0,3.0
2025-09-28T10:03:09.305984_aug_1,0,normal,1.0,4.047359355893611,0.99,0.01,30.33819746596977,0.0,0.0,0.0,39.0,6.0206560511410006,11.27890502448769,10.0,0.1,54.303019422589,43.23878316919276,0.0,701.5168357598423,784.7323603779286,0.0,50.0,2.0,100.0,1.0023156159103337,0.0,54.21492083715631,0.3090659499733373,1.0,3.011938528527003,0.2931300763120662,272.80765317484634,3.0325473335573827
2025-09-28T10:03:09.305984_aug_10,0,normal,1.0,4.183940733741243,0.99,0.01,30.6753715287595,0.0,0.0,0.0,39.0,5.97001632951132,11.712241409750888,10.0,0.1,54.338780979875466,0.0,0.0,716.8534992427171,519.880632846742,0.0,50.0,2.0,100.0,0.9715328677833608,0.0,54.28846730957177,0.1267445113239914,1.0,3.0332227060731927,0.2952503144515645,275.7662495434122,2.985163312651808
